Kennung;Name;Streckentyp (1=freie Strecke 2=Bruecke);Streckenbelag (1=Asphalt 2=Beton);Breite;Laenge;Hoehe;Flughafen;Inaktiv
E669;Schulenburg;1;1;52,433214;9,669431;53;A;
E671;Otze;1;1;52,496730;10,002580;51;L;
E674;Hannover-Nord;1;1;52,533330;9,800000;51;A;
E676;Grossburgwedel;1;1;52,488550;9,839450;58;A;
E677;Arpke;1;1;52,368470;10,068930;62;A;
E678;Kaltenweide;1;2;52,483330;9,733330;50;A;
E680;Gifhorn;1;1;52,494540;10,556440;52;L;
E681;Grosser Kain;1;1;52,705490;10,477920;91;L;
E682;Roehrse;1;1;52,359330;10,166580;66;A;
E692;Weyhausen WOB;1;1;52,461340;10,736490;61;A;
E693;Fallersleben;1;1;52,426790;10,737950;69;A;
E694;Jerxheim Bhf.;1;1;52,062210;10,890470;84;L;
E700;Twist;1;1;52,661944;7,183056;17;;
E701;Geeste;1;1;52,627500;7,188333;19;;
E712;Hakenhof;1;1;52,268711;7,989761;81;;
E713;Osnabrueck;2;1;52,316670;7,966670;58;;
E714;Herrenrest;1;1;52,175180;8,065290;217;;
E715;Dissen;1;1;52,100420;8,196710;94;;
E719;Hankenberg/Talbruecke;1;1;52,166670;8,166670;135;;
E721;Osterkappeln;1;1;52,335310;8,201580;132;;
E723;Salzbergen;1;2;52,343056;7,341111;34;;
E726;Nemden;1;1;52,221944;8,187500;155;;
E730;Fischbeck;1;1;52,150280;9,282370;64;L;
E731;Reher;1;1;52,019700;9,221110;139;L;
E733;Pohle;1;1;52,270833;9,325556;146;A;
E734;Bernser Kirchweg;1;1;52,216067;9,166283;195;A;
E735;Hattendorf;1;1;52,233330;9,266670;219;A;
E736;Papenbrink;1;1;52,216670;9,050000;213;A;
E740;Holtensen;1;1;52,389600;9,478400;52;A;
E741;Herrenhausen;1;1;52,421133;9,627500;51;A;
E742;Lauenau;1;1;52,293889;9,363889;87;A;
E743;Kolenfeld;1;1;52,371583;9,448967;51;A;
E745;Caecilienhoehe;1;1;52,316670;9,466670;80;A;
E746;Dahle;1;1;52,196230;9,528110;131;L;
E747;Steinbergen;1;1;52,207860;9,104290;104;L;
E750;Vahrenheide;1;2;52,426967;9,756300;51;A;
E751;Lahe;1;1;52,424667;9,826333;5;A;
E752;Altwarmbuechen;1;1;52,416190;9,854300;56;A;
E753;Muellingen;1;1;52,295550;9,889917;68;A;
E757;AD Hannover-Sued;1;1;52,302360;9,881760;92;A;
E758;Marienhagen;1;1;52,029180;9,676800;229;L;
E759;Thiedenwiese;1;1;52,209540;9,745550;84;L;
E760;Burgdorf;1;1;52,446190;9,938500;60;A;
E761;Kirchhorst;1;2;52,420225;9,891944;61;A;
E763;Allerbeck;1;1;52,384817;10,009433;58;A;
E765;Haemelerwald;1;1;52,363367;10,119350;67;A;
E767;Peine;1;1;52,344133;10,214667;71;A;
E769;Braunschweig-Hafen;1;1;52,324444;10,474722;70;A;
E770;Hildesheimer Boerde;1;1;52,120356;10,052740;146;A;
E771;Westerlinde;1;1;52,120360;10,226190;104;A;
E772;Salzgitterdreieck;1;1;52,084070;10,185020;131;A;
E773;Messeberg;1;1;52,201380;10,161160;114;L;
E774;Edemissen;1;1;52,391350;10,261120;76;L;
E775;Schnedebruch;1;1;52,329450;9,951033;66;L;
E777;Watenstedt;1;1;52,153056;10,361030;96;A;
E780;BS-Gartenstadt;1;1;52,245600;10,508480;85;A;
E781;Duttenstedt;1;1;52,335120;10,298180;67;A;
E782;Zweidorfer Holz;1;1;52,339200;10,368180;75;A;
E783;Rothemuehle;1;1;52,331380;10,440720;65;A;
E784;AK Wolfsburg;1;1;52,312700;10,764233;110;A;
E785;Koenigslutter;1;1;52,316670;10,800000;54;A;
E786;Braunschweig-Ost;1;1;52,309722;10,630556;87;A;
E787;BS-Flughafen;1;1;52,313300;10,557200;87;A;
E791;Essehof;1;1;52,308317;10,690950;100;A;
E793;Mariental;1;1;52,247733;11,003267;153;A;
E794;Uhry;2;1;52,300533;10,860400;101;A;
E795;Helmstedt;1;1;52,223183;11,048167;183;A;
E796;Trendel;1;1;52,282567;10,914483;115;A;
E797;Barmke;1;1;52,269700;10,959183;117;A;
E803;Grohnde;1;1;51,999150;9,430550;73;L;
E820;Odfeld;1;1;51,912050;9,610740;258;L;
E830;Gerzen;1;1;51,959820;9,818130;164;L;
E831;Ihtkopf;1;1;51,961440;9,651590;363;L;
E832;Ronnenberg;1;1;52,309690;9,655390;86;L;
E834;Schlochau;1;1;51,715800;9,941050;149;A;
E836;Wetterschacht;1;1;51,804020;10,089580;185;A;
E842;Salzderhelden;1;1;51,804810;9,918340;117;L;
E850;Nette;1;1;52,045680;10,086360;209;L;
E852;Muenchehof;1;1;51,828350;10,191690;247;L;
E853;Bad Gandersheim;1;1;51,865680;10,036930;155;L;
E862;Langelsheim;1;1;51,947950;10,303390;237;L;
E872;Haverlah;2;1;52,048540;10,340650;168;L;
E873;Juliushuette;1;1;51,919470;10,402040;245;L;
E881;Schladen;1;1;52,038160;10,514600;123;A;
E882;Sonnenberg;1;1;51,768768;10,455863;800;L;
E885;Westerode;1;1;51,907760;10,553500;208;A;
E891;Torfhaus;1;1;51,800300;10,537510;800;L;
E910;Winnefeld;1;1;51,687700;9,457410;268;L;
E922;Ellierode;2;1;51,633870;9,793100;258;L;
E926;Leineholz;1;1;51,616670;9,916670;132;A;
E932;Waake;1;1;51,560540;10,035517;321;L;
E933;Osterode;1;1;51,727640;10,240130;216;L;
E951;Barbis;2;1;51,619642;10,431494;328;L;
E963;Werratalbruecke;2;1;51,416670;9,716670;176;A;
E971;Humboldtsblick;1;1;51,396560;9,669500;326;A;
E972;Mollenfelde;1;1;51,428580;9,845300;274;A;
E980;Reiffenhausen;1;2;51,398760;9,981020;298;;
E981;Ostenfelde(Rustenfelde);1;1;51,404667;10,005500;301;A;
F053;Pasewalk Sued;1;1;53,366670;13,966670;41;;
F057;Schmoelln;1;1;53,294986;14,127533;9;;
F122;Rapshagen;1;1;53,216670;12,216670;103;;
F136;Karstedtshof;1;1;53,100000;12,466670;62;;
F137;Wittstock;1;1;53,183330;12,450000;64;;
F233;Netzeband;1;1;52,966670;12,616670;49;;
F283;Joachimsthal;1;1;52,950000;13,816670;90;;
F340;Fehrbellin;1;1;52,803550;12,794140;43;;
F351;AD Oranienburg;1;1;52,704180;13,203380;37;;
F360;Finowfurt;2;1;52,850000;13,666670;32;;
F442;Havelkanal;2;1;52,585280;12,973610;31;;
F461;Ruedersdorf;2;1;52,466670;13,766670;68;;
F515;Grebs;1;1;52,316670;12,650000;59;;
F521;Havelbruecke;2;1;52,417452;12,914761;44;;
F527;Wollin;1;1;52,290633;12,460799;41;;
F528;Beelitz-Heilstaetten;1;1;52,283477;12,908422;80;;
F537;Fahlhorst;1;1;52,302220;13,193890;38;;
F538;Wildenbruch;1;1;52,300530;13,052003;52;;
F539;Michendorf;1;1;52,302294;12,989999;80;;
F547;Dahlewitzer Heide;1;1;52,306107;13,416568;47;;
F562;Spreeau;1;1;52,316670;13,760000;37;;
F572;Dehmseebruecke;2;1;52,340000;14,160000;38;;
F574;Rauener Berge;2;1;52,320779;14,010885;66;;
F592;Oderbruecke;2;2;52,316670;14,566670;29;;
F618;Flaeming;1;1;52,016670;12,600000;166;;
F622;Linther Busch;1;1;52,166670;12,816670;42;;
F650;Dahmebruecke;1;2;52,021329;13,686162;54;;
F758;Luebbenau;1;1;51,816670;13,966670;71;;
F843;Calau;2;1;51,716670;13,866670;124;;
F863;Haenchen;1;1;51,716670;14,266670;93;;
F884;Sergener Teiche;1;1;51,716670;14,483330;78;;
F894;Bademeusel;1;1;51,666670;14,716670;110;;
F945;Ruhland;2;1;51,466670;13,866670;98;;
H006;Rheine (Dek-Bruecke);2;1;52,316670;7,450000;53;;
H011;Rahden;1;1;52,506984;8,624773;39;;
H049;Heek (B70);2;1;52,100000;7,066670;56;;
H062;Mittellandkanal;2;1;52,266670;7,600000;40;;
H069;Dek-Bruecke Ladbergen;2;1;52,120300;7,708600;51;;
H073;AK Lotte;2;1;52,266670;7,916670;76;;
H075;Habichtswald TB;2;1;52,216670;7,866670;169;;
H083;Horst-Hoehe;1;1;52,286851;8,629004;197;;
H084;AS Roedinghausen;2;1;52,200000;8,416670;71;;
H088;Buende-Ost;1;1;52,183330;8,616670;90;;
H095;Weserflutbruecke;2;1;52,200000;8,850000;44;;
H097;Steinegge-Exter TB;2;1;52,143080;8,783350;135;;
H098;Kleinenbremen nrw/ns;1;1;52,220560;9,036660;157;;
H112;Gescher;1;1;52,004420;7,050890;70;;
H118;Ochtrup;1;1;52,205000;7,122780;51;;
H130;MS- Sued Ueberflieger;2;1;51,919560;7,560360;63;;
H160;Bad Oeynhausen;1;1;52,203396;8,841620;58;;
H161;Borgholzhausen;1;1;52,073880;8,251660;100;;
H162;Steinhagen;1;1;52,073880;8,251660;100;;
H172;Bielef. Berg West Tms;1;1;51,950000;8,583330;135;;
H173;Laemmershagen TB;2;1;51,979722;8,615556;175;;
H175;Ostwestfalen/Lippe;1;1;52,033330;8,650000;97;;
H177;Gohfeld;2;1;52,205000;8,750550;52;;
H179;Bielefelder Berg Tms;1;1;51,966670;8,700000;169;;
H180;Hahnenkamp;2;1;52,201880;8,825416;70;;
H201;Elten;1;2;51,866670;6,166670;51;;
H211;Rees;1;1;51,816900;6,441300;23;;
H219;Karthaus;1;1;51,880192;7,347090;70;;
H220;Borken;1;1;51,858140;7,006220;65;;
H228;Kaltenbach;1;1;51,766670;6,950000;58;;
H232;Darup ;1;1;51,932306;7,281613;150;;
H234;Duelmen;1;1;51,833330;7,233330;58;;
H236;AS Ascheberg;1;1;51,795106;7,633580;69;;
H241;Ascheberg;1;1;51,754100;7,692300;71;;
H242;Amelsbueren;2;1;51,878548;7,576286;59;;
H243;Muenster-Nord;1;1;51,992576;7,563956;77;;
H266;Guetersloh ;1;1;51,854598;8,324234;76;;
H267;Beckum;1;1;51,766670;8,050000;129;;
H272;AK Bielefeld;2;1;51,944722;8,548333;120;;
H273;Toppmannsbach;1;1;51,956600;8,503800;108;;
H274;Kohlstaedt;2;1;51,827527;8,875975;221;;
H275;Sennelager;1;1;51,757222;8,693056;110;;
H276;Schloss-Holte;1;1;51,871389;8,653333;123;;
H277;Stellbergbruecke;2;1;51,732828;8,997333;327;;
H292;Loewendorf;1;1;51,838728;9,275905;300;;
H302;Grenze/Goch;1;2;51,666670;6,083330;17;;
H308;Sonsbeck;2;1;51,600000;6,350000;23;;
H310;Hamminkeln;2;1;51,748300;6,590200;26;;
H317;Moers Nord;1;1;51,494170;6,628890;30;;
H318;RE-Ost;1;1;51,596060;7,252690;80;;
H319;OB-Neue-Mitte;1;1;51,497190;6,892030;42;;
H320;Hardenbergbruecke;2;1;51,441310;6,923970;78;;
H321;Velbert;1;1;51,363330;7,068890;186;;
H322;Helbingbruecke;2;1;51,449780;7,017560;80;;
H325;Dorsten / Lippebr.;2;1;51,666670;6,916670;28;;
H326;Huenxe;2;1;51,616670;6,716670;44;;
H327;Parwicker Bach;2;1;51,566670;7,033330;58;;
H328;Marl;1;1;51,633330;7,016670;40;;
H329;Bottrop AK;2;1;51,583330;6,916670;46;;
H331;Haltern;2;1;51,700000;7,150000;41;;
H332;Riemke;2;1;51,700000;7,200000;96;;
H334;Herne;2;1;51,558920;7,251110;48;;
H337;Recklinghausen-Herten;1;1;51,616670;7,166670;88;;
H338;Recklinghausen;2;1;51,600000;7,166670;78;;
H341;Kamener Kreuz;2;1;51,600930;7,687380;69;;
H345;Werne (Lippebr.);1;1;51,666670;7,683330;60;;
H347;Mengede Dek-Bruecke;2;1;51,583330;7,416670;91;;
H351;Werl;1;1;51,542760;7,920860;113;;
H352;Liedbachtalbruecke;2;1;51,516670;7,650000;131;;
H353;Letmathe;1;1;51,372360;7,611610;181;;
H370;Lipper Bruch;1;1;51,711390;8,355000;76;;
H371;Erwitte;2;1;51,606160;8,340340;113;;
H379;Lohme-Alme TB;2;1;51,616670;8,716670;282;;
H383;Bad Driburg;1;1;51,732215;9,007105;325;;
H406;Uentrop;1;1;51,690810;7,980470;68;;
H409;Wachtendonk;2;1;51,416670;6,366670;29;;
H413;AK Duisburg;2;1;51,446310;6,778670;36;;
H415;Kaiserberg;2;1;51,440440;6,805690;31;;
H417;Kyll;2;1;50,360830;6,510560;468;;
H418;Niepkanal-Bruecke;2;1;51,416670;6,516670;28;;
H421;Baerl;2;1;51,480860;6,680278;41;;
H422;AK Oberhausen;2;1;51,516670;6,816670;32;;
H423;Altenessen/Emscher;2;1;51,507200;6,966598;41;;
H426;Essen-Ost ;1;1;51,456000;7,045140;63;;
H427;Muelheim-Heissen ;1;1;51,436351;6,942932;117;;
H428;Neuenkamp;2;1;51,436990;6,712470;41;;
H431;Hochlarmark;2;1;51,550000;7,200000;55;;
H433;Stahlhausen;1;1;51,475027;7,148920;104;;
H434;Bochum ;2;1;51,500000;7,266670;141;;
H435;Gelsenkirchen;2;1;51,466670;7,083330;93;;
H436;Schalke;2;1;51,531500;7,079560;48;;
H437;Muensterstrasse;2;1;51,547220;7,105280;40;;
H438;Witten-Annen;1;1;51,466670;7,366670;162;;
H439;Martenerbruecke;2;1;51,516670;7,366670;91;;
H440;Bodelschwingh;2;1;51,550000;7,350000;123;;
H441; Dortmund Nordost;2;1;51,578283;7,493808;68;;
H442;Wambeln;2;1;51,533840;7,518514;75;;
H445;Schnettkerbruecke;2;1;51,500000;7,416670;97;;
H446;Unna-West/AK A44-A1;2;1;51,516670;7,666670;141;;
H447;Romberg Holz TB;2;1;51,433330;7,466670;244;;
H448;Lichtendorf;1;1;51,416670;7,600000;174;;
H449;Siddinghauser Weg;1;2;51,516670;7,766670;194;;
H451;Rhynern;1;1;51,616670;7,866670;87;;
H452;Wittbraeucker Strasse;1;1;51,426110;7,464170;221;;
H453;AK Hagen;2;1;51,316670;7,500000;310;;
H454;Luener Bach TB;2;1;51,516670;7,750000;157;;
